Accuracy,Loss
0.0,2.977581739425659
0.0625,3.5594394207000732
0.0,3.5510008335113525
0.125,3.608764886856079
0.3125,2.977796792984009
0.1875,3.205108404159546
0.125,3.2129929065704346
0.1875,2.7642641067504883
0.25,3.076650381088257
0.0,3.732058525085449
0.1875,3.064667224884033
0.0,3.041759490966797
0.1875,2.649142026901245
0.0625,2.908869504928589
0.125,2.979649305343628
0.125,3.372241258621216
0.0625,3.351032018661499
0.1875,2.7032692432403564
0.0,3.4077675342559814
0.1875,2.697963237762451
0.0625,3.00506329536438
0.25,2.324557304382324
0.125,2.933603048324585
0.125,2.8661980628967285
0.125,2.8095104694366455
0.1875,2.854973077774048
0.25,2.6862504482269287
0.0625,3.4462854862213135
0.25,3.1686596870422363
0.1875,2.263094425201416
0.1875,2.6757214069366455
0.0625,3.0411550998687744
0.0,3.698350667953491
0.375,2.4603841304779053
0.0,3.3560047149658203
0.125,2.8499834537506104
0.125,2.8125898838043213
0.125,2.9340267181396484
0.0625,3.005821466445923
0.1875,2.263645648956299
0.25,2.436781644821167
0.125,2.877159833908081
0.0,3.251222848892212
0.25,2.966071844100952
0.125,2.954890489578247
0.125,2.8528833389282227
0.1875,2.9940247535705566
0.1875,2.7273316383361816
0.1875,2.662947654724121
0.125,2.329523801803589
0.25,2.3017923831939697
0.3125,2.3809664249420166
0.1875,2.1753952503204346
0.1875,3.1570279598236084
0.1875,2.4958345890045166
0.1875,2.2402119636535645
0.3125,2.38966703414917
0.1875,2.255854606628418
0.25,2.2725706100463867
0.25,2.559276580810547
0.125,2.5239903926849365
0.125,2.5230231285095215
0.0,3.3732082843780518
0.25,2.638561248779297
0.1875,2.1778526306152344
0.1875,2.784987211227417
0.25,2.125058889389038
0.375,2.127721071243286
0.25,2.577850341796875
0.1875,2.3429880142211914
0.1875,2.332441806793213
0.125,2.3428633213043213
0.3125,2.159395694732666
0.3125,2.6938061714172363
0.3125,2.7885735034942627
0.3125,2.2793731689453125
0.375,1.8020588159561157
0.1875,2.453209400177002
0.3125,1.9621199369430542
0.375,1.9528894424438477
0.1875,2.625906229019165
0.3125,1.9941829442977905
0.3125,1.9943299293518066
0.4375,1.8127353191375732
0.375,2.118513822555542
0.125,2.398162603378296
0.5625,1.9557819366455078
0.3125,2.1907389163970947
0.5625,1.6640501022338867
0.375,1.6523709297180176
0.3125,1.9403712749481201
0.25,2.3606722354888916
0.375,1.9627537727355957
0.4375,1.585572361946106
0.5,1.699569821357727
0.4375,1.694476842880249
0.0625,2.38504695892334
0.3125,2.338547945022583
0.3125,2.066707134246826
0.3125,2.00762677192688
0.4375,2.1815645694732666
0.25,1.9339295625686646
0.3125,1.973225474357605
0.3125,2.2067954540252686
0.375,1.5892462730407715
0.25,2.0900347232818604
0.5625,1.6377428770065308
0.5625,1.8685957193374634
0.125,2.576716184616089
0.3125,2.0512497425079346
0.25,2.5749518871307373
0.3125,2.0760345458984375
0.4375,2.1660499572753906
0.3125,2.1280364990234375
0.25,2.2799644470214844
0.3125,2.5784878730773926
0.375,1.9915530681610107
0.25,2.3362929821014404
0.3125,2.1089441776275635
0.4375,1.9282346963882446
0.25,2.079723834991455
0.1875,2.7834155559539795
0.5,2.089216470718384
0.5,1.948992371559143
0.3125,2.395113468170166
0.3125,2.324998378753662
0.25,2.7078444957733154
0.3125,2.121741771697998
0.125,3.164470911026001
0.375,2.285393714904785
0.4375,1.7329188585281372
0.3125,1.9210108518600464
0.4375,1.9774529933929443
0.5625,1.513918399810791
0.375,2.201630115509033
0.3125,2.120267391204834
0.3125,2.472160816192627
0.375,1.831279993057251
0.25,2.2495644092559814
0.5,1.5782802104949951
0.5625,1.6188762187957764
0.3125,1.8392443656921387
0.5625,1.712151288986206
0.3125,1.994329810142517
0.25,1.8380613327026367
0.1875,2.054553270339966
0.5,1.666637897491455
0.4375,1.795133113861084
0.3125,2.541228771209717
0.25,2.085353136062622
0.3125,2.2234175205230713
0.5625,1.4941542148590088
0.5,1.796561360359192
0.4375,1.659299373626709
0.5,1.7712138891220093
0.3125,2.0589942932128906
0.3125,2.1394588947296143
0.5625,1.5380665063858032
0.4375,1.5657126903533936
0.5,1.6496655941009521
0.125,2.72196364402771
0.4375,1.8018732070922852
0.3125,1.884096622467041
0.3125,2.7241969108581543
0.5625,1.3820223808288574
0.3125,2.279491901397705
0.1875,2.3375580310821533
0.1875,2.4755728244781494
0.375,1.6573234796524048
0.5,1.4004158973693848
0.3125,2.276650905609131
0.0,2.400954246520996
0.4375,1.6621184349060059
0.25,2.018747329711914
0.25,2.402273178100586
